run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
116,3486,2,5,2,2,2,2,2,2,1,1,285.717,42,185.578
117,3486,3,5,2,2,2,2,2,2,1,1,286.495,42,183.405
118,3487,1,4,1,7,7,7,7,7,0,1,286.55,42,157.551
119,3487,2,4,1,7,7,7,7,7,0,1,285.635,42,165.463
120,3487,3,4,1,7,7,7,7,7,0,1,286.074,42,154.324
121,3488,1,7,3,11,11,11,11,11,0,1,285.844,42,1956.37
122,3488,2,7,3,11,11,11,11,11,0,1,285.947,42,1961.77
123,3488,3,7,3,11,11,11,11,11,0,1,286.332,42,1974.57
124,3489,1,9,2,7,7,7,7,7,2,1,286.403,41,254.414
125,3489,2,9,2,7,7,7,7,7,2,1,285.797,41,255.009
126,3489,3,9,2,7,7,7,7,7,2,1,286.645,42,253.457
127,3490,1,4,2,6,6,6,6,6,0,1,286.235,42,167.653
128,3490,2,4,2,6,6,6,6,6,0,1,286.771,41,169.288
129,3490,3,4,2,6,6,6,6,6,0,1,286.357,41,169.65
130,3491,1,6,2,11,11,11,11,11,0,1,286.486,42,176.476
131,3491,2,6,2,11,11,11,11,11,0,1,287.464,41,170.305
132,3491,3,6,2,11,11,11,11,11,0,1,287.054,42,172.178
133,3492,1,6,3,11,11,11,11,11,0,1,286.432,41,297.211
134,3492,2,6,3,11,11,11,11,11,0,1,286.811,41,287.658
135,3492,3,6,3,11,11,11,11,11,0,1,286.808,42,289.876
136,3493,1,5,2,2,2,2,2,2,1,1,286.472,42,271.065
137,3493,2,5,2,2,2,2,2,2,1,1,286.539,42,271.781
138,3493,3,5,2,2,2,2,2,2,1,1,286.862,42,271.269
139,3494,1,8,3,4,4,4,4,4,1,1,286.711,42,482.93
140,3494,2,8,3,4,4,4,4,4,1,1,287.054,42,488.66
141,3494,3,8,3,4,4,4,4,4,1,1,286.755,42,486.533
142,3495,1,8,3,10,10,10,10,10,0,1,286.996,42,7446.76
143,3495,2,8,3,10,10,10,10,10,0,1,286.866,41,7434.39
144,3495,3,8,3,10,10,10,10,10,0,1,287.072,42,7395.76
145,3496,1,5,2,3,3,3,3,3,1,1,286.168,42,148.077
146,3496,2,5,2,3,3,3,3,3,1,1,286.485,41,144.397
147,3496,3,5,2,3,3,3,3,3,1,1,286.805,41,145.139
148,3497,1,3,1,4,4,4,4,4,0,1,287.479,42,157.404
149,3497,2,3,1,4,4,4,4,4,0,1,286.455,42,159.941
150,3497,3,3,1,4,4,4,4,4,0,1,286.641,41,157.501
151,3498,1,6,2,3,3,3,3,3,2,1,286.63,41,149.163
152,3498,2,6,2,3,3,3,3,3,2,1,287.138,41,148.796
153,3498,3,6,2,3,3,3,3,3,2,1,286.595,41,149.932
154,3499,1,7,2,7,7,7,7,7,1,1,286.819,42,165.655
155,3499,2,7,2,7,7,7,7,7,1,1,286.387,41,165.429
156,3499,3,7,2,7,7,7,7,7,1,1,286.559,42,167.508
157,3500,1,6,2,4,4,4,4,4,1,1,286.294,41,148.708
158,3500,2,5,2,4,4,4,4,4,1,1,286.87,42,159.629
159,3500,3,5,2,4,4,4,4,4,1,1,286.462,42,146.033
160,3501,1,5,3,8,8,8,8,8,0,1,286.755,42,280.459
161,3501,2,5,3,8,8,8,8,8,0,1,286.357,42,278.972
162,3501,3,5,3,8,8,8,8,8,0,1,286.441,42,282.64
163,3502,1,5,2,7,7,7,7,7,0,1,286.544,42,196.829
164,3502,2,5,2,7,7,7,7,7,0,1,286.378,42,198.515
165,3502,3,5,2,7,7,7,7,7,0,1,286.516,42,194.891
166,3503,1,6,2,10,10,10,10,10,1,1,286.228,42,185.313
167,3503,2,6,2,10,10,10,10,10,1,1,286.436,42,185.854
168,3503,3,6,2,10,10,10,10,10,1,1,286.836,41,187.399
169,3504,1,8,3,9,9,9,9,9,0,1,286.618,42,2481.57
170,3504,2,8,3,9,9,9,9,9,0,1,286.8,41,2480.3
171,3504,3,8,3,9,9,9,9,9,0,1,286.831,42,2523.39
172,3505,1,7,3,14,14,14,14,14,1,1,286.484,42,182.144
173,3505,2,7,3,14,14,14,14,14,1,1,286.208,41,171.135
174,3505,3,7,3,14,14,14,14,14,1,1,286.768,42,165.767
175,3506,1,5,2,2,2,2,2,2,1,1,286.828,42,578.411
176,3506,2,5,2,2,2,2,2,2,1,1,286.993,41,581.621
177,3506,3,5,2,2,2,2,2,2,1,1,286.443,42,570.384
178,3507,1,6,2,7,7,7,7,7,0,1,287.151,42,187.811
179,3507,2,6,2,7,7,7,7,7,0,1,286.648,42,189.369
180,3507,3,6,2,7,7,7,7,7,0,1,286.85,42,189.48
181,3508,1,5,2,4,4,4,4,4,1,1,286.499,42,505.248
182,3508,2,5,2,4,4,4,4,4,1,1,286.954,42,502.903
183,3508,3,5,2,4,4,4,4,4,1,1,286.484,42,502.585
184,3509,1,4,1,7,7,7,7,7,0,1,286.437,41,147.035
185,3509,2,4,1,7,7,7,7,7,0,1,286.214,42,147.126
186,3509,3,4,1,7,7,7,7,7,0,1,286.822,42,146.305
187,3510,1,4,3,7,7,7,7,7,0,1,286.733,41,188.73
188,3510,2,4,3,7,7,7,7,7,0,1,286.711,42,184.532
189,3510,3,4,3,7,7,7,7,7,0,1,287.014,41,281.605
190,3511,1,5,2,6,6,6,6,6,0,1,286.144,42,165.013
191,3511,2,5,2,6,6,6,6,6,0,1,286.517,41,166.317
192,3511,3,5,2,6,6,6,6,6,0,1,286.72,41,169.281
193,3512,1,7,3,5,5,5,5,5,2,1,286.702,41,158.461
194,3512,2,7,3,5,5,5,5,5,2,1,286.628,42,156.436
195,3512,3,7,3,5,5,5,5,5,2,1,286.868,42,157.594
196,3513,1,7,3,13,13,13,13,13,0,1,288.117,42,586.822
197,3513,2,7,3,13,13,13,13,13,0,1,286.333,41,583.073
198,3513,3,7,3,13,13,13,13,13,0,1,285.976,42,592.507
199,3514,1,7,3,13,13,13,13,13,0,1,286.641,41,292.061
200,3514,2,7,3,13,13,13,13,13,0,1,287.484,42,291.41
201,3514,3,7,3,13,13,13,13,13,0,1,287.043,41,295.805
202,3515,1,4,3,4,4,4,4,4,0,1,286.403,41,156.131
203,3515,2,4,3,4,4,4,4,4,0,1,286.867,42,149.415
204,3515,3,4,3,4,4,4,4,4,0,1,286.768,42,144.323
205,3516,1,3,2,3,3,3,3,3,0,1,286.437,41,153.867
206,3516,2,3,2,3,3,3,3,3,0,1,288.236,42,157.105
207,3516,3,3,2,3,3,3,3,3,0,1,287.45,42,154.87
208,3517,1,10,4,36,36,36,36,36,0,1,286.609,42,18778.0
209,3517,2,10,4,36,36,36,36,36,0,1,286.843,41,19089.6
210,3517,3,10,4,36,36,36,36,36,0,1,286.413,42,19103.4
211,3518,1,6,1,31,31,31,31,31,0,1,286.016,41,146.959
212,3518,2,6,1,31,31,31,31,31,0,1,285.78,41,147.629
213,3518,3,6,1,31,31,31,31,31,0,1,286.403,42,148.685
214,3519,1,4,1,7,7,7,7,7,0,1,285.676,42,158.4
215,3519,2,4,1,7,7,7,7,7,0,1,286.407,42,162.141
216,3519,3,4,1,7,7,7,7,7,0,1,286.77,42,162.791
217,3520,1,4,1,2,2,2,2,2,1,1,286.47,42,192.901
218,3520,2,4,1,2,2,2,2,2,1,1,285.096,42,191.513
219,3520,3,4,1,2,2,2,2,2,1,1,286.212,42,188.269
220,3521,1,6,2,3,3,3,3,3,1,1,286.732,41,801.785
221,3521,2,6,2,3,3,3,3,3,1,1,286.283,41,819.579
222,3521,3,6,2,3,3,3,3,3,1,1,286.424,42,805.336
223,3522,1,5,2,5,5,5,5,5,0,1,285.919,42,160.291
224,3522,2,5,2,5,5,5,5,5,0,1,286.173,42,158.431
225,3522,3,5,2,5,5,5,5,5,0,1,286.726,42,160.574
226,3523,1,6,2,21,21,21,21,21,0,1,286.432,42,154.592
227,3523,2,6,2,21,21,21,21,21,0,1,285.793,41,154.134
228,3523,3,6,2,21,21,21,21,21,0,1,286.154,42,153.89
229,3524,1,6,2,30,30,30,30,30,0,1,285.85,42,150.838
230,3524,2,6,2,30,30,30,30,30,0,1,286.4,42,147.024
231,3524,3,6,2,30,30,30,30,30,0,1,286.478,41,148.316
232,3525,1,7,3,3,3,3,3,3,1,1,286.049,41,9039.47
233,3525,2,7,3,3,3,3,3,3,1,1,286.627,42,9049.42
234,3525,3,7,3,3,3,3,3,3,1,1,286.497,41,9098.64
235,3526,1,7,3,9,9,9,9,9,0,1,286.621,42,485.242
236,3526,2,7,3,9,9,9,9,9,0,1,286.594,42,487.972
237,3526,3,7,3,9,9,9,9,9,0,1,286.577,42,482.488
238,3527,1,7,3,15,15,15,15,15,0,1,286.57,42,1819.12
239,3527,2,7,3,15,15,15,15,15,0,1,286.078,41,1809.94
240,3527,3,7,3,15,15,15,15,15,0,1,286.745,42,1819.59
241,3528,1,6,2,3,3,3,3,3,1,1,287.592,42,2480.07
242,3528,2,6,2,3,3,3,3,3,1,1,285.742,42,2433.61
243,3528,3,6,2,3,3,3,3,3,1,1,286.51,42,2401.51
244,3529,1,8,4,14,14,14,14,14,0,1,286.436,42,2060.55
245,3529,2,8,4,14,14,14,14,14,0,1,286.387,42,2066.3
246,3529,3,8,4,14,14,14,14,14,0,1,286.61,42,2079.17
247,3530,1,6,2,4,4,4,4,4,1,1,286.737,41,262.862
248,3530,2,6,2,4,4,4,4,4,1,1,286.376,41,258.571
249,3530,3,6,2,4,4,4,4,4,1,1,286.652,42,261.388
250,3531,1,5,2,6,6,6,6,6,1,1,286.434,42,147.878
251,3531,2,5,2,6,6,6,6,6,1,1,285.776,41,147.778
252,3531,3,6,2,6,6,6,6,6,1,1,285.659,41,152.439
253,3532,1,6,1,6,6,6,6,6,1,1,286.232,42,467.033
254,3532,2,6,1,6,6,6,6,6,1,1,286.401,41,469.175
255,3532,3,6,1,6,6,6,6,6,1,1,286.217,41,467.179
256,3533,1,6,3,6,6,6,6,6,1,1,287.241,41,150.251
257,3533,2,6,3,6,6,6,6,6,1,1,286.46,42,148.737
258,3533,3,6,3,6,6,6,6,6,1,1,285.877,42,165.686
259,3534,1,6,3,5,5,5,5,5,3,1,286.13,42,154.823
260,3534,2,6,3,5,5,5,5,5,3,1,286.795,41,156.722
261,3534,3,6,3,5,5,5,5,5,3,1,286.803,42,155.454
262,3535,1,7,2,13,13,13,13,13,0,1,286.559,41,470.744
263,3535,2,7,2,13,13,13,13,13,0,1,286.426,42,470.28
264,3535,3,7,2,13,13,13,13,13,0,1,286.465,42,460.645
265,3536,1,5,1,5,5,5,5,5,1,1,286.415,42,146.581
266,3536,2,5,1,5,5,5,5,5,1,1,286.698,42,144.651
267,3536,3,5,1,5,5,5,5,5,1,1,286.62,42,143.199
268,3537,1,6,2,3,3,3,3,3,1,1,286.771,42,152.981
269,3537,2,6,2,3,3,3,3,3,1,1,287.23,41,153.589
270,3537,3,6,2,3,3,3,3,3,1,1,286.818,41,152.74
271,3538,1,5,2,6,6,6,6,6,1,1,287.306,41,147.217
272,3538,2,5,2,6,6,6,6,6,1,1,286.378,42,147.339
273,3538,3,5,2,6,6,6,6,6,1,1,286.739,42,158.126
274,3539,1,4,1,5,5,5,5,5,0,1,286.51,41,162.176
275,3539,2,4,1,5,5,5,5,5,0,1,286.769,42,163.202
276,3539,3,4,1,5,5,5,5,5,0,1,286.638,42,163.267
277,3540,1,5,2,3,3,3,3,3,1,1,286.831,41,580.545
278,3540,2,5,2,3,3,3,3,3,1,1,286.605,42,576.333
279,3540,3,5,2,3,3,3,3,3,1,1,286.536,42,574.258
280,3541,1,5,1,7,7,7,7,7,0,1,286.133,41,2367.34
281,3541,2,5,1,7,7,7,7,7,0,1,286.226,42,2345.48
282,3541,3,5,1,7,7,7,7,7,0,1,287.742,42,2357.53
283,3542,1,8,2,12,12,12,12,12,0,1,286.297,42,658.929
284,3542,2,8,2,12,12,12,12,12,0,1,286.572,42,664.908
285,3542,3,8,2,12,12,12,12,12,0,1,286.944,42,659.774
286,3543,1,5,2,8,8,8,8,8,0,1,286.286,42,178.05
287,3543,2,5,2,8,8,8,8,8,0,1,286.854,41,164.407
288,3543,3,5,2,8,8,8,8,8,0,1,286.234,42,163.892
289,3544,1,5,2,4,4,4,4,4,1,1,286.659,42,272.187
290,3544,2,5,2,4,4,4,4,4,1,1,286.597,41,268.191
291,3544,3,5,2,4,4,4,4,4,1,1,286.203,42,268.544
292,3545,1,6,2,6,6,6,6,6,1,1,287.043,42,151.607
293,3545,2,6,2,6,6,6,6,6,1,1,286.67,42,150.481
294,3545,3,6,2,6,6,6,6,6,1,1,287.028,42,150.642
295,3546,1,5,2,14,14,14,14,14,0,1,286.577,41,188.216
296,3546,2,5,2,14,14,14,14,14,0,1,286.994,42,189.219
297,3546,3,5,2,14,14,14,14,14,0,1,287.298,41,189.751
298,3547,1,5,1,6,6,6,6,6,0,1,286.863,42,179.338
299,3547,2,5,1,6,6,6,6,6,0,1,286.795,41,182.142
300,3547,3,5,1,6,6,6,6,6,0,1,287.465,42,182.528
301,3548,1,6,2,4,4,4,4,4,1,1,287.002,41,180.081
302,3548,2,6,2,4,4,4,4,4,1,1,287.082,41,165.787
303,3548,3,6,2,4,4,4,4,4,1,1,286.28,42,170.909
304,3549,1,5,2,4,4,4,4,4,1,1,286.285,42,181.971
305,3549,2,5,2,4,4,4,4,4,1,1,287.07,42,179.402
306,3549,3,5,2,4,4,4,4,4,1,1,287.438,42,181.793
307,3550,1,9,3,13,13,13,13,13,1,1,286.798,42,17690.6
308,3550,2,9,3,13,13,13,13,13,1,1,286.23,42,17793.2
309,3550,3,9,3,13,13,13,13,13,1,1,286.412,41,17850.7
310,3551,1,7,2,5,5,5,5,5,3,1,286.971,41,196.958
311,3551,2,7,2,5,5,5,5,5,3,1,286.82,41,197.723
312,3551,3,7,2,5,5,5,5,5,3,1,286.944,42,201.033
