program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,scalar,750,16384,160,25,"40,30,30,30,30",750,0,0,0,750,0,0,0,9937607
rotate,scalar,1000,16384,160,25,"40,30,30,30,30",1000,0,0,0,1000,0,0,0,13253082
rotate,scalar,1,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19254
rotate,scalar,10,16384,260,18,"50,40,40,40,40,50",10,0,0,0,10,0,0,0,185721
rotate,scalar,50,16384,260,18,"50,40,40,40,40,50",50,0,0,0,50,0,0,0,925094
rotate,scalar,80,16384,260,18,"50,40,40,40,40,50",80,0,0,0,80,0,0,0,1480640
rotate,scalar,100,16384,260,18,"50,40,40,40,40,50",100,0,0,0,100,0,0,0,1849432
rotate,scalar,250,16384,260,18,"50,40,40,40,40,50",250,0,0,0,250,0,0,0,4622340
rotate,scalar,500,16384,260,18,"50,40,40,40,40,50",500,0,0,0,500,0,0,0,9246868
rotate,scalar,750,16384,260,18,"50,40,40,40,40,50",750,0,0,0,750,0,0,0,13865203
rotate,scalar,1000,16384,260,18,"50,40,40,40,40,50",1000,0,0,0,1000,0,0,0,18491706
rotate,scalar,1,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19249
rotate,scalar,10,16384,260,20,"50,40,40,40,40,50",10,0,0,0,10,0,0,0,185614
rotate,scalar,50,16384,260,20,"50,40,40,40,40,50",50,0,0,0,50,0,0,0,925243
rotate,scalar,80,16384,260,20,"50,40,40,40,40,50",80,0,0,0,80,0,0,0,1479998
rotate,scalar,100,16384,260,20,"50,40,40,40,40,50",100,0,0,0,100,0,0,0,1848399
rotate,scalar,250,16384,260,20,"50,40,40,40,40,50",250,0,0,0,250,0,0,0,4623090
rotate,scalar,500,16384,260,20,"50,40,40,40,40,50",500,0,0,0,500,0,0,0,9242352
rotate,scalar,750,16384,260,20,"50,40,40,40,40,50",750,0,0,0,750,0,0,0,13857643
rotate,scalar,1000,16384,260,20,"50,40,40,40,40,50",1000,0,0,0,1000,0,0,0,18482608
rotate,scalar,1,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19238
rotate,scalar,10,16384,260,25,"50,40,40,40,40,50",10,0,0,0,10,0,0,0,185562
rotate,scalar,50,16384,260,25,"50,40,40,40,40,50",50,0,0,0,50,0,0,0,924698
rotate,scalar,80,16384,260,25,"50,40,40,40,40,50",80,0,0,0,80,0,0,0,1479766
rotate,scalar,100,16384,260,25,"50,40,40,40,40,50",100,0,0,0,100,0,0,0,1846951
rotate,scalar,250,16384,260,25,"50,40,40,40,40,50",250,0,0,0,250,0,0,0,4616518
