run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
120,40,3,3,2,4,4,4,4,4,0,1,287.49,42,174.139
121,41,1,2,1,2,2,2,2,2,0,1,287.589,42,149.908
122,41,2,2,1,2,2,2,2,2,0,1,287.856,42,148.737
123,41,3,2,1,2,2,2,2,2,0,1,287.228,41,149.084
124,42,1,5,2,5,5,5,5,5,1,1,287.185,41,149.396
125,42,2,5,2,5,5,5,5,5,1,1,287.399,41,152.836
126,42,3,6,2,6,6,6,6,6,1,1,287.682,42,158.616
127,43,1,5,1,4,4,4,4,4,1,1,287.369,42,166.294
128,43,2,5,1,4,4,4,4,4,1,1,287.245,42,157.994
129,43,3,5,1,4,4,4,4,4,1,1,287.31,42,145.526
130,44,1,5,2,2,2,2,2,2,1,1,287.166,42,453.487
131,44,2,5,2,2,2,2,2,2,1,1,287.235,41,456.2
132,44,3,5,2,2,2,2,2,2,1,1,287.178,42,450.042
133,45,1,5,2,3,3,3,3,3,1,1,287.483,42,289.541
134,45,2,5,2,3,3,3,3,3,1,1,287.651,41,288.921
135,45,3,5,2,3,3,3,3,3,1,1,287.017,42,288.654
136,46,1,3,1,3,3,3,3,3,0,1,287.413,41,180.116
137,46,2,3,1,3,3,3,3,3,0,1,287.607,42,179.869
138,46,3,3,1,3,3,3,3,3,0,1,287.541,42,164.131
139,47,1,5,1,18,18,18,18,18,0,1,287.318,42,153.327
140,47,2,5,1,18,18,18,18,18,0,1,287.383,42,152.016
141,47,3,5,1,18,18,18,18,18,0,1,287.539,41,148.852
142,48,1,5,2,3,3,3,3,3,1,1,287.625,42,295.572
143,48,2,5,2,3,3,3,3,3,1,1,286.828,42,261.946
144,48,3,5,2,3,3,3,3,3,1,1,287.695,41,270.817
145,49,1,2,1,2,2,2,2,2,0,1,287.119,42,143.458
146,49,2,2,1,2,2,2,2,2,0,1,290.59,41,143.524
147,49,3,2,1,2,2,2,2,2,0,1,289.649,41,141.876
148,50,1,6,2,4,4,4,4,4,1,1,290.833,42,1743.84
149,50,2,6,2,4,4,4,4,4,1,1,287.797,42,1793.52
150,50,3,6,2,4,4,4,4,4,1,1,287.787,42,1771.67
151,51,1,3,1,2,2,2,2,2,0,1,287.525,41,146.938
152,51,2,3,1,2,2,2,2,2,0,1,287.486,41,158.556
153,51,3,3,1,2,2,2,2,2,0,1,287.482,42,142.664
154,52,1,6,3,7,7,7,7,7,1,1,287.104,42,274.977
155,52,2,6,3,7,7,7,7,7,1,1,287.491,42,276.86
156,52,3,6,3,7,7,7,7,7,1,1,287.125,41,291.616
157,53,1,5,2,5,5,5,5,5,0,1,287.164,41,189.799
158,53,2,5,2,5,5,5,5,5,0,1,287.236,42,191.648
159,53,3,5,2,5,5,5,5,5,0,1,289.299,41,196.976
160,54,1,6,2,18,18,18,18,18,0,1,289.839,41,182.469
161,54,2,6,2,18,18,18,18,18,0,1,287.255,42,176.829
162,54,3,6,2,18,18,18,18,18,0,1,287.269,42,172.0
163,55,1,4,2,5,5,5,5,5,0,1,286.957,42,163.262
164,55,2,4,2,5,5,5,5,5,0,1,290.962,41,157.703
165,55,3,4,2,5,5,5,5,5,0,1,289.143,42,158.199
